Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Bch-16S-V3V4-022-2_S22_L002_R1_001	(1.0, 6.646603441107174)	(2.0, 2.035361435048607)	(3.0, 1.3245688716415547)	(4.0, 1.0176807175243034)	(5.0, 0.9008652266022531)	(6.0, 0.6711940919080523)	(7.0, 0.8107787039420278)	(8.0, 0.7127724869820026)	(9.0, 0.6236759261092522)	('>10', 15.93739481656008)	('>50', 9.546201516621458)	('>100', 29.877046745995607)	('>500', 15.436474152097729)	('>1k', 14.4593818678599)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-022-2_S22_L002_R2_001	(1.0, 6.699071415843348)	(2.0, 2.255132951868058)	(3.0, 1.6304670639713308)	(4.0, 1.0374799532738037)	(5.0, 1.0048112142871286)	(6.0, 0.7721701942305027)	(7.0, 0.8038489714297029)	(8.0, 0.6018967667848021)	(9.0, 0.552398677411052)	('>10', 13.436751341398223)	('>50', 6.412972459263072)	('>100', 24.804482546973684)	('>500', 4.654800324707466)	('>1k', 35.333716118557824)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-023-2_S23_L002_R1_001	(1.0, 5.948418437605962)	(2.0, 2.0289393740182273)	(3.0, 1.237293178971552)	(4.0, 0.910669923672574)	(5.0, 0.7819582171352649)	(6.0, 0.647710523220007)	(7.0, 0.6297185642416736)	(8.0, 0.5535987377948778)	(9.0, 0.5106948356157748)	('>10', 12.568767343210457)	('>50', 8.625068334844196)	('>100', 28.664650644596527)	('>500', 17.344940453535767)	('>1k', 19.547571431537136)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-023-2_S23_L002_R2_001	(1.0, 5.9511864312949365)	(2.0, 1.785355929388481)	(3.0, 1.2808890795728987)	(4.0, 1.0435336207433448)	(5.0, 0.7577382723567391)	(6.0, 0.7058383906884692)	(7.0, 0.5667467078175061)	(8.0, 0.5646707125507754)	(9.0, 0.46709893501442823)	('>10', 11.57644160571314)	('>50', 7.541398805610723)	('>100', 24.224096769059365)	('>500', 4.776173110325308)	('>1k', 38.758831629863884)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-024-2_S24_L002_R1_001	(1.0, 7.525641425320323)	(2.0, 2.431648844966799)	(3.0, 1.393521838077127)	(4.0, 1.3031143810206691)	(5.0, 1.1534744520996354)	(6.0, 0.8043146179505565)	(7.0, 0.8401658509212209)	(8.0, 0.9477195498332138)	(9.0, 0.8136671135081212)	('>10', 17.788446550487887)	('>50', 12.247092932630856)	('>100', 30.267793122798263)	('>500', 6.026124637590797)	('>1k', 16.457274682794527)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-024-2_S24_L002_R2_001	(1.0, 8.113289896187299)	(2.0, 2.562583782772703)	(3.0, 1.8003553948311874)	(4.0, 1.2844093899055398)	(5.0, 1.07553698911993)	(6.0, 0.7388471490476043)	(7.0, 0.7856096268354272)	(8.0, 0.598559715684135)	(9.0, 0.8276958568444679)	('>10', 17.80403404308383)	('>50', 9.414845527948374)	('>100', 19.261464600804317)	('>500', 25.033513109081273)	('>1k', 10.699254917853914)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-025-2_S25_L002_R1_001	(1.0, 5.305504283212646)	(2.0, 1.7984760282076766)	(3.0, 1.1642765866818117)	(4.0, 0.8481234322495149)	(5.0, 0.7241232429362487)	(6.0, 0.6076955842680676)	(7.0, 0.6095887169293388)	(8.0, 0.5830848596715414)	(9.0, 0.5622604003975579)	('>10', 12.244782053102371)	('>50', 7.046239765251549)	('>100', 27.783614936816697)	('>500', 18.380425008282455)	('>1k', 22.341805101992524)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-025-2_S25_L002_R2_001	(1.0, 5.415305977566378)	(2.0, 1.4898954044204649)	(3.0, 1.056368024989351)	(4.0, 0.9238487387003644)	(5.0, 0.828245539306167)	(6.0, 0.8121539116853614)	(7.0, 0.6559704671304842)	(8.0, 0.6436651048322212)	(9.0, 0.579298594348999)	('>10', 11.343650906337261)	('>50', 7.784561503147333)	('>100', 18.72308201997255)	('>500', 6.2321927209049175)	('>1k', 43.51176108665815)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-026-2_S26_L002_R1_001	(1.0, 6.529383836676886)	(2.0, 2.2258165753325447)	(3.0, 1.3977741834246675)	(4.0, 1.1555577014380096)	(5.0, 0.7845882722159186)	(6.0, 0.8063153320618979)	(7.0, 0.5689270855965687)	(8.0, 0.4763859047711014)	(9.0, 0.5214494363035029)	('>10', 14.375266558836072)	('>50', 9.806146343818652)	('>100', 30.304420249619778)	('>500', 10.069285179731068)	('>1k', 20.978683340173333)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-026-2_S26_L002_R2_001	(1.0, 6.642847371428112)	(2.0, 2.166268337236157)	(3.0, 1.467783598483934)	(4.0, 1.1330259356718089)	(5.0, 0.9254118082546734)	(6.0, 0.8304565096685417)	(7.0, 0.6139906171289703)	(8.0, 0.663077678262479)	(9.0, 0.5576612027134683)	('>10', 12.90748296035214)	('>50', 7.573087415204113)	('>100', 18.94599618569394)	('>500', 9.155139254359494)	('>1k', 36.41777112554217)	('>5k', 0.0)	('>10k+', 0.0)
